Артикул;pname;"prevprice";;;"curprice";;;cengroup;"ostatki";nds?;CURRENCY
0294;Ланч-бокс герметичный в форме эллипса с тремя контейнерами и складывающейся ручкой. Материал: нержавеющая сталь, пластик. Цвет: зеленый;;руб.;шт;1951,00;руб.;шт;Новинки;50;N;RUB
0295;Подставка силиконовая AMOUR 20х17х0,5см. Цвет: фиолетовый;562,00;руб.;шт;394,00;руб.;шт;Акция -30%;50;N;RUB
0296;Подставка силиконовая AMOUR 20х17х0,5см. Цвет: красный;562,00;руб.;шт;394,00;руб.;шт;Акция -30%;50;N;RUB
0297;Подставка силиконовая AMOUR 20х17х0,5см. Цвет: зеленый;562,00;руб.;шт;394,00;руб.;шт;Акция -30%;50;N;RUB
0298;Подставка силиконовая AMOUR 20х17х0,5см. Цвет: желтый;562,00;руб.;шт;394,00;руб.;шт;Акция -30%;50;N;RUB
0299;Набор кулинарный  AMOUR из 7 пр. (4 формочки, венчик, кисточка кулинарная, лопатка силиконовая) Материал: дерево, силико;;руб.;шт;1303,00;руб.;шт;Новинки;50;N;RUB
0304;Форма для выпечки прямоугольная MIST 41x24,8x6,4 см с антипригарным покрытием Ксилан, ручки покрыты силиконом, углеродистая сталь;1919,00;руб.;шт;1152,00;руб.;шт;Акция -40%;50;N;RUB
0306;Противень для выпечки MIST 39,7x25x2,5 см с антипригарным покрытием Ксилан, ручки покрыты силиконом, углеродистая сталь;1463,00;руб.;шт;878,00;руб.;шт;Акция -40%;50;N;RUB
0307;Противень для выпечки MIST 46x29x2,8 см с антипригарным покрытием Ксилан, ручки покрыты силиконом, углеродистая сталь;2111,00;руб.;шт;1267,00;руб.;шт;Акция -40%;50;N;RUB
0308;Форма для выпечки 12 кексов MIST 41x27,5x3,5 см с антипригарным покрытием Ксилан, ручки покрыты силиконом, углеродистая сталь;2282,00;руб.;шт;1141,00;руб.;шт;Акция -50%;50;N;RUB
0309;Форма для выпечки 6 кексов MIST 38,3x22,3x5,2 см с антипригарным покрытием Ксилан, ручки покрыты силиконом, углеродистая сталь;1848,00;руб.;шт;924,00;руб.;шт;Акция -50%;50;N;RUB
